r_fighter,b_fighter,height_diff,reach_diff,age_diff,strike_eff_diff,grapple_eff_diff,performance_diff,win_ratio_diff,r_fighter_win
Charles Jourdain,Sean Woodson,-12.700000000000017,-22.860000000000014,-3.0,0.08999999999999986,-0.49999999999999994,-0.1600771717945877,-0.1515151515151516,0
Serhiy Sidey,Ramon Taveras,7.6200000000000045,5.079999999999984,-2.0,-1.0300000000000002,0.0,-0.40184393196834944,0.09090909090909083,0
Gillian Robertson,Polyana Viana,0.0,-10.159999999999997,-3.0,-1.17,0.03999999999999998,-0.05661489547064402,-0.08421052631578951,1
Yohan Lainesse,Sam Patterson,-5.0800000000000125,-5.0800000000000125,4.0,0.31999999999999984,0.375,0.16792325931603114,0.04895104895104896,0
Jasmine Jasudavicius,Priscila Cachoeira,0.0,7.6200000000000045,-1.0,2.1399999999999997,0.09499999999999997,-0.0153841345304635,0.044117647058823484,1
Malcolm Gordon,Jimmy Flick,0.0,7.6200000000000045,0.0,2.7299999999999995,0.06,0.028615434358917557,-0.02898550724637683,0
Magomed Ankalaev,Johnny Walker,-7.6200000000000045,-17.78,0.0,0.1299999999999999,-0.19999999999999996,-0.07915358914559267,0.15000000000000002,1
Jim Miller,Gabriel Benitez,0.0,0.0,5.0,-0.9600000000000004,-0.08500000000000008,-0.2925368614548187,0.002774694783573728,1
Ricky Simon,Mario Bautista,-7.6200000000000045,0.0,1.0,-1.3400000000000003,0.09499999999999997,-0.2193057771816742,-0.033333333333333326,0
Phil Hawes,Brunno Ferreira,5.079999999999984,12.700000000000017,3.0,1.2799999999999994,0.42999999999999994,0.16646173743567017,-0.20320855614973254,0
Andrei Arlovski,Waldo Cortes-Acosta,-2.539999999999992,-2.539999999999992,12.0,-2.3300000000000005,0.26000000000000006,-0.27361273991755,-0.30194805194805197,0
Matthew Semelsberger,Preston Parsons,5.079999999999984,10.159999999999997,3.0,-0.6800000000000006,-0.125,-0.04184608752144314,-0.0672268907563025,0
Marcus McGhee,Gaston Bolanos,2.539999999999992,0.0,2.0,-1.4600000000000004,0.3,0.0870006466659281,0.18888888888888888,1
Farid Basharat,Taylor Lapilus,5.0800000000000125,-5.079999999999984,-5.0,0.9500000000000006,0.07499999999999996,0.14353761589840175,0.13636363636363635,1
Westin Wilson,Jean Silva,15.23999999999998,10.159999999999997,8.0,-7.279999999999999,-0.665,-0.89699633555974,-0.17948717948717952,0
Westin Wilson,Jean Silva,17.78,,-12.0,-4.01,0.0,0.0019994611117264416,0.10784313725490191,0
Nikolas Motta,Tom Nolan,-15.240000000000009,-7.619999999999976,7.0,-9.91,0.41,-0.6607636346217749,-0.2777777777777778,1
Joshua Van,Felipe Bunes,-5.0800000000000125,-10.159999999999997,-12.0,3.2699999999999996,0.6,1.561300064965975,0.21578947368421053,1
Leon Edwards,Colby Covington,7.6200000000000045,5.0800000000000125,-3.0,-0.6499999999999999,-0.07499999999999996,-0.19599892222345294,0.025000000000000022,1
Alexandre Pantoja,Brandon Royval,-10.159999999999997,-2.539999999999992,2.0,-0.2200000000000002,-0.14500000000000002,0.0631530502573191,0.12442396313364057,1
Shavkat Rakhmonov,Stephen Thompson,2.539999999999992,5.0800000000000125,-11.0,0.6800000000000002,0.14,0.0807690235045101,0.29166666666666663,1
Tony Ferguson,Paddy Pimblett,2.539999999999992,7.6200000000000045,11.0,0.010000000000000231,0.09999999999999998,0.1822301142742523,-0.12670807453416144,0
Josh Emmett,Bryce Mitchell,-10.160000000000025,0.0,9.0,-1.2899999999999998,0.04500000000000004,0.2399216426512104,-0.07070707070707061,1
Alonzo Menifield,Dustin Jacoby,-7.6200000000000045,0.0,1.0,-0.7100000000000004,0.10000000000000003,-0.18284479418958688,0.07407407407407407,1
Irene Aldana,Karol Rosa,10.159999999999997,2.539999999999992,7.0,-2.1099999999999994,0.050000000000000044,-0.017153373590283127,-0.10606060606060608,1
Cody Garbrandt,Brian Kelleher,5.0800000000000125,-2.539999999999992,-5.0,0.3600000000000003,0.050000000000000044,-0.0033073938464945885,0.09064327485380119,1
Casey O'Neill,Ariane Lipski,0.0,5.079999999999984,-3.0,3.1299999999999994,-0.07500000000000007,0.5854575341071369,0.2333333333333334,0
Tagir Ulanbekov,Cody Durden,0.0,7.6200000000000045,0.0,-0.1299999999999999,-0.135,-0.020923259316031007,0.11309523809523814,1
Andre Fili,Lucas Almeida,0.0,7.6200000000000045,1.0,-0.2999999999999998,0.37999999999999995,-0.009691097266339543,-0.1875,1
Martin Buday,Shamil Gaziev,0.0,-2.539999999999992,-1.0,-1.3000000000000003,0.75,0.9696119854739671,-0.0714285714285714,0
Song Yadong,Chris Gutierrez,-2.539999999999992,0.0,-7.0,-1.4699999999999998,0.09499999999999997,-0.03292272042775779,-0.026455026455026398,1
Anthony Smith,Khalil Rountree Jr.,7.6200000000000045,0.0,2.0,-0.8599999999999999,0.09999999999999998,-0.04215337359028315,-0.04949494949494948,0
Nasrat Haqparast,Jamie Mullarkey,-5.079999999999984,-5.0800000000000125,-1.0,0.4200000000000008,-0.06000000000000005,0.16230663940291168,0.010869565217391353,1
Tim Elliott,Sumudaerji,-2.539999999999992,-15.240000000000009,9.0,-1.3399999999999999,-0.30000000000000004,-0.31276805350561787,-0.17366946778711478,1
JunYong Park,Andre Muniz,-7.619999999999976,-12.700000000000017,-1.0,1.1400000000000001,0.21999999999999997,0.42892078042997284,-0.020376175548589393,0
Song Kenan,Kevin Jousset,-5.0800000000000125,-10.159999999999997,3.0,0.6200000000000001,0.14,-0.08638327230922582,-0.07744107744107753,0
HyunSung Park,Shannon Ross,2.5400000000000205,0.0,-6.0,3.2399999999999993,0.15000000000000002,-0.29684360863538517,0.38095238095238093,1
Steve Garcia,Melquizael Costa,5.079999999999984,10.159999999999997,4.0,-0.34000000000000075,0.29499999999999993,0.0320002155553093,-0.03238866396761142,1
Luana Santos,Stephanie Egger,0.0,-2.539999999999992,-12.0,10.730000000000002,0.04999999999999999,1.932064346253679,0.19047619047619047,1
Tatsuro Taira,Carlos Hernandez,-2.539999999999992,7.6200000000000045,-7.0,0.8700000000000003,0.09999999999999998,-0.2466134943611329,0.18181818181818177,1
Rayanne Amanda,Talita Alencar,2.539999999999992,10.159999999999997,-5.0,0.2699999999999996,0.045,0.22792196598417458,-0.10000000000000009,0
Beneil Dariush,Arman Tsarukyan,7.6200000000000045,0.0,7.0,-0.8100000000000003,0.015000000000000124,0.006384673418737163,-0.11637931034482762,0
Jalin Turner,Bobby Green,12.699999999999989,15.240000000000009,-9.0,-1.0099999999999998,0.09500000000000008,-0.03976913128216486,0.007092198581560294,1
Rob Font,Deiveson Figueiredo,7.6200000000000045,7.6200000000000045,1.0,2.2600000000000002,-0.10499999999999998,0.27453643034420006,-0.13186813186813184,0
Sean Brady,Kelvin Gastelum,2.5400000000000205,2.539999999999992,-1.0,-0.09999999999999964,0.275,0.14607674068396903,0.27450980392156865,1
Clay Guida,Joaquim Silva,-2.539999999999992,2.5400000000000205,7.0,0.5300000000000002,-0.10499999999999998,-0.14038381119749943,-0.07815442561205277,0
Punahele Soriano,Dustin Stoltzfus,-2.539999999999992,-7.6200000000000045,-1.0,-0.79,-0.06500000000000006,0.031845764188479175,-0.05769230769230771,0
Miesha Tate,Julia Avila,-2.5400000000000205,-7.6200000000000045,2.0,-0.08999999999999986,0.015000000000000013,0.012692282820541134,-0.06034482758620685,1
Zach Reese,Cody Brundage,10.159999999999997,12.700000000000017,0.0,-1.9199999999999997,-0.625,-0.032847919741573195,0.19047619047619047,0
Drakkar Klose,Joe Solecki,0.0,0.0,5.0,0.2500000000000002,-0.010000000000000009,0.25692131931824636,0.05882352941176472,1
Rodolfo Bellato,Ihor Potieria,0.0,5.0800000000000125,0.0,1.5399999999999991,0.34,0.25330696273587594,0.06547619047619047,1
Wellington Turman,Jared Gooden,0.0,-12.700000000000017,-2.0,0.6599999999999997,-0.5149999999999999,-0.4426907739333753,-0.02644230769230771,0
Veronica Hardy,Jamey-Lyn Horth,-7.6200000000000045,-5.079999999999984,-5.0,-1.27,0.015000000000000013,-0.11315326581262863,-0.24175824175824168,1
Brendan Allen,Paul Craig,-2.539999999999992,-2.539999999999992,-9.0,0.71,0.22999999999999993,0.27346033632615907,0.14142857142857135,1
Michael Morales,Jake Matthews,2.539999999999992,15.240000000000009,-5.0,0.9400000000000004,0.15000000000000002,0.2796906661557208,0.2692307692307693,1
Chase Hooper,Jordan Leavitt,10.159999999999997,7.6200000000000045,-4.0,0.5600000000000007,0.10999999999999999,0.26530577718167414,-0.021008403361344574,1
Payton Talbott,Nick Aguirre,2.5400000000000205,-10.159999999999997,-2.0,5.7,0.175,0.8178412375269818,0.2222222222222222,1
Luana Pinheiro,Amanda Ribas,-2.5400000000000205,-10.159999999999997,1.0,-2.0799999999999996,-0.15999999999999992,-0.19376837683858206,0.09615384615384615,0
Uros Medic,Myktybek Orolbai,7.619999999999976,-7.6200000000000045,5.0,3.1099999999999994,0.38,0.7690729684660544,-0.03896103896103886,0
Jonathan Pearce,Joanderson Brito,10.159999999999997,-2.539999999999992,3.0,1.5499999999999998,-0.07999999999999996,0.272613494361133,-0.06315789473684219,0
Chad Anheliger,Jose Johnson,-15.240000000000009,-17.78,9.0,-1.5499999999999998,-0.015000000000000013,0.015230545384871008,-0.03508771929824561,0
Christian Leroy Duncan,Denis Tiuliulin,2.5400000000000205,5.079999999999984,-7.0,2.0300000000000002,-0.11499999999999999,0.0559226126501029,0.37368421052631584,1
Mick Parkin,Caio Machado,0.0,2.539999999999992,-1.0,-4.3,0.044999999999999984,-0.274844363078968,0.2727272727272727,1
Jeka Saragih,Lucas Alexander,-7.6200000000000045,-10.159999999999997,0.0,-3.4800000000000004,0.5450000000000002,-0.17899795222456072,0.1568627450980392,1
Lucie Pudilova,Ailin Perez,7.6200000000000045,2.5400000000000205,0.0,-1.93,-0.15999999999999998,0.006614787692989399,-0.20948616600790515,0
Charles Johnson,Rafael Estevam,2.539999999999992,2.5400000000000205,5.0,1.48,0.28500000000000003,0.34630653162525715,-0.3157894736842105,0
Jiri Prochazka,Alex Pereira,-2.539999999999992,2.539999999999992,-5.0,-1.2100000000000004,-0.2599999999999999,-0.0958464108544077,0.03475935828876997,0
Sergei Pavlovich,Tom Aspinall,-5.0800000000000125,15.240000000000009,1.0,-1.3499999999999988,-0.625,-0.22269271393115986,0.07647058823529418,0
Jessica Andrade,Mackenzie Dern,-7.6200000000000045,-2.5400000000000205,2.0,2.0299999999999994,0.36,0.5443819789773697,-0.08903020667726547,1
Matt Frevola,Benoit Saint Denis,-5.0800000000000125,-5.079999999999984,6.0,-0.18999999999999995,-0.09999999999999998,-0.21899849111283443,-0.2410714285714286,0
Diego Lopes,Pat Sabatini,7.6200000000000045,5.079999999999984,-5.0,-2.92,-0.24999999999999997,-0.08061575769188167,0.010494752623688153,1
Steve Erceg,Alessandro Costa,10.159999999999997,2.539999999999992,1.0,0.5599999999999996,0.020000000000000018,0.050999568889381286,0.1519607843137255,1
Tabatha Ricci,Loopy Godinez,-2.539999999999992,0.0,-2.0,-1.0,-0.10000000000000009,-0.03669239059819562,0.018181818181818188,0
Mateusz Rebecki,Roosevelt Roberts,-17.78,-17.78,2.0,3.37,0.2849999999999999,0.42515197248077186,0.241486068111455,1
Jared Gordon,Mark Madsen,2.539999999999992,-10.159999999999997,-4.0,2.4,-0.13,0.18822925205301444,-0.08791208791208782,1
John Castaneda,Kyung Ho Kang,-7.6200000000000045,-5.079999999999984,-5.0,-0.2200000000000002,-0.08499999999999996,0.1462295753859787,0.12260536398467436,1
Joshua Van,Kevin Borjas,0.0,-7.6200000000000045,-3.0,4.499999999999999,0.31999999999999995,0.6376891572685548,0.08181818181818179,1
